dataset,Function,Offset,x0,y0,y1,D
random_extra,Cubic,0.1,155.140681,3734023.7887410866,3741249.0332318596,7225.244490772951
random_extra,Cubic,0.1,173.042256,5181511.966258041,5190500.245234191,8988.278976150788
random_extra,Cubic,0.1,-21.772734,-10321.40691884255,-10179.843517112122,141.56340173042736
random_extra,Cubic,0.1,-44.705782,-89349.28635250067,-88751.0444426912,598.2419098094688
random_extra,Cubic,0.1,-96.961426,-911584.6046390653,-908767.0570422594,2817.547596805962
random_extra,Cubic,0.1,62.947034,249416.86390947184,250607.452047311,1190.5881378391641
random_extra,Cubic,0.1,-2.953225,-25.756663766573272,-23.22779914638577,2.528864620187502
random_extra,Cubic,0.1,185.695368,6403290.608479678,6413641.011249714,10350.4027700359
random_extra,Cubic,0.1,120.39379,1745067.6144683133,1749419.6266831823,4352.012214869028
random_extra,Cubic,0.1,-17.917886,-5752.548744614976,-5656.770089582276,95.77865503270004
random_extra,Cubic,0.1,120.423235,1746348.3138446633,1750702.4542000727,4354.140355409356
random_extra,Cubic,0.1,-183.312811,-6159967.933392008,-6149892.355773322,10075.577618685551
random_extra,Cubic,0.1,107.783149,1252139.1755021303,1255627.5721591068,3488.396656976547
random_extra,Cubic,0.1,-198.731553,-7848749.6937974,-7836907.385696653,11842.308100746945
random_extra,Cubic,0.1,-82.876243,-569233.1258185304,-567175.069609682,2058.0562088484876
random_extra,Cubic,0.1,44.365733,87325.88258747764,87917.71003885583,591.8274513781944
random_extra,Cubic,0.1,165.210957,4509376.951276835,4517570.306699401,8193.355422565714
random_extra,Cubic,0.1,-79.953998,-511117.26938681223,-509201.87446789717,1915.394918915059
random_extra,Cubic,0.1,-100.560545,-1016910.7893383428,-1013880.0781914839,3030.7111468589865
random_extra,Quartic,0.0,-145.804735,451945963.18176156,451945963.18176156,0.0
random_extra,Quartic,0.0,155.140681,579298993.4554924,579298993.4554924,0.0
random_extra,Quartic,0.0,173.042256,896620520.1322874,896620520.1322874,0.0
random_extra,Quartic,0.0,-21.772734,224725.24734971844,224725.24734971844,0.0
random_extra,Quartic,0.0,-44.705782,3994429.71753047,3994429.71753047,0.0
random_extra,Quartic,0.0,-96.961426,88388543.18544999,88388543.18544999,0.0
random_extra,Quartic,0.0,62.947034,15700051.812682897,15700051.812682897,0.0
random_extra,Quartic,0.0,-2.953225,76.06522335203836,76.06522335203836,0.0
random_extra,Quartic,0.0,185.695368,1189061405.9525776,1189061405.9525776,0.0
random_extra,Quartic,0.0,120.39379,210095303.91209906,210095303.91209906,0.0
random_extra,Quartic,0.0,-17.917886,103073.51261545427,103073.51261545427,0.0
random_extra,Quartic,0.0,120.423235,210300913.38996965,210300913.38996965,0.0
random_extra,Quartic,0.0,-183.312811,1129201037.53995,1129201037.53995,0.0
random_extra,Quartic,0.0,107.783149,134959503.32188326,134959503.32188326,0.0
random_extra,Quartic,0.0,-198.731553,1559794215.7566319,1559794215.7566319,0.0
random_extra,Quartic,0.0,-82.876243,47175902.8589861,47175902.8589861,0.0
random_extra,Quartic,0.0,44.365733,3874276.790865382,3874276.790865382,0.0
random_extra,Quartic,0.0,165.210957,744998481.5941883,744998481.5941883,0.0
random_extra,Quartic,0.0,-79.953998,40865869.13431864,40865869.13431864,0.0
random_extra,Quartic,0.0,-100.560545,102261103.19224395,102261103.19224395,0.0
random_extra,Quartic,0.1,-145.804735,451945963.18176156,450707371.7852544,-1238591.396507144
random_extra,Quartic,0.1,155.140681,579298993.4554924,580794047.7095054,1495054.2540130615
random_extra,Quartic,0.1,173.042256,896620520.1322874,898694922.2284012,2074402.096113801
random_extra,Quartic,0.1,-21.772734,224725.24734971844,220625.04070799545,-4100.206641722994
random_extra,Quartic,0.1,-44.705782,3994429.71753047,3958809.740682995,-35619.97684747493
random_extra,Quartic,0.1,-96.961426,88388543.18544999,88024473.0469366,-364070.13851338625
random_extra,Quartic,0.1,62.947034,15700051.812682897,15800056.549880188,100004.7371972911
random_extra,Quartic,0.1,-2.953225,76.06522335203836,66.27413721944654,-9.791086132591815
random_extra,Quartic,0.1,185.695368,1189061405.9525776,1191624791.9050326,2563385.952455044
random_extra,Quartic,0.1,120.39379,210095303.91209906,210794201.11944175,698897.2073426843
random_extra,Quartic,0.1,-17.917886,103073.51261545427,100791.68458438678,-2281.828031067489
random_extra,Quartic,0.1,120.423235,210300913.38996965,211000323.3026321,699409.9126624465
random_extra,Quartic,0.1,-183.312811,1129201037.53995,1126739065.8486426,-2461971.6913073063
random_extra,Quartic,0.1,107.783149,134959503.32188326,135461056.45574918,501553.1338659227
random_extra,Quartic,0.1,-198.731553,1559794215.7566319,1556657084.7380962,-3137131.018535614
random_extra,Quartic,0.1,-82.876243,47175902.8589861,46948621.38555296,-227281.4734331444
random_extra,Quartic,0.1,44.365733,3874276.790865382,3909325.420559183,35048.62969380105
random_extra,Quartic,0.1,165.210957,744998481.5941883,746803870.7152616,1805389.121073246
random_extra,Quartic,0.1,-79.953998,40865869.13431864,40661805.46535571,-204063.66896293312
random_extra,Quartic,0.1,-100.560545,102261103.19224395,101854945.21975909,-406157.97248485684
