experiment,x0,function,x1,n0,n1,n_prime,Q,n,D,abs_D
"n0=0.2,n1=-0.1",0.0001,Linear,0.0001,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-0.0001,Linear,-0.0001,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",10.0,Linear,10.0,0.2,-0.1,0.05,0.0,0.05,0.29999999999999993,0.29999999999999993
"n0=0.2,n1=-0.1",-10.0,Linear,-10.0,0.2,-0.1,0.05,0.0,0.05,0.3,0.3
"n0=0.2,n1=-0.1",7.0,Linear,7.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-7.0,Linear,-7.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",1.0,Polynomial,0.7,0.2,-0.1,0.05,-0.13147500000000004,-0.08147500000000003,0.3244425000000001,0.3244425000000001
"n0=0.2,n1=-0.1",2.0,Polynomial,6.4,0.2,-0.1,0.05,376.76906666666673,376.81906666666674,1658.3038933333337,1658.3038933333337
"n0=0.2,n1=-0.1",5.0,Polynomial,113.5,0.2,-0.1,0.05,41245552.344791666,41245552.39479166,4475142435.134895,4475142435.134895
"n0=0.2,n1=-0.1",-1.0,Polynomial,-1.7,0.2,-0.1,0.05,2.679191666666667,2.729191666666667,-1.6104341666666664,1.6104341666666664
"n0=0.2,n1=-0.1",-2.0,Polynomial,-10.4,0.2,-0.1,0.05,3117.2064000000005,3117.2564000000007,-26184.653760000005,26184.653760000005
"n0=0.2,n1=-0.1",-5.0,Polynomial,-138.5,0.2,-0.1,0.05,92434207.678125,92434207.72812499,-12339966731.404686,12339966731.404686
"n0=0.2,n1=-0.1",0.5,Polynomial,0.1,0.2,-0.1,0.05,-0.018933333333333337,0.031066666666666666,0.28757333333333335,0.28757333333333335
"n0=0.2,n1=-0.1",0.25,Polynomial,0.034375,0.2,-0.1,0.05,-0.0045106525182724,0.0454893474817276,0.2901913594492525,0.2901913594492525
"n0=0.2,n1=-0.1",-0.75,Polynomial,-0.853125,0.2,-0.1,0.05,0.10303670504093171,0.1530367050409317,0.28421808979265395,0.28421808979265395
"n0=0.2,n1=-0.1",3.1416,Polynomial,26.699988919296,0.2,-0.1,0.05,123931.58778712728,123931.63778712729,2919630.0223944653,2919630.0223944653
"n0=0.2,n1=-0.1",1.4142,Polynomial,2.1112049312879995,0.2,-0.1,0.05,3.1154401877119065,3.1654401877119063,2.5063274205324095,2.5063274205324095
"n0=0.2,n1=-0.1",-2.7183,Polynomial,-24.324177182487002,0.2,-0.1,0.05,89957.10413732569,89957.15413732569,-1943602.923977111,1943602.923977111
"n0=0.2,n1=-0.1",100.0,Polynomial,995020.0,0.2,-0.1,0.05,2.4505691305882567e+23,2.4505691305882567e+23,2.4381202394048682e+29,2.4381202394048682e+29
"n0=0.2,n1=-0.1",-100.0,Polynomial,-1005020.0,0.2,-0.1,0.05,2.55058096454162e+23,2.55058096454162e+23,-2.563129822887165e+29,2.563129822887165e+29
"n0=0.2,n1=-0.1",0.0001,Polynomial,1.9995001e-05,0.2,-0.1,0.05,-9.598546841281566e-10,0.04999999904014532,0.2999959997501268,0.2999959997501268
"n0=0.2,n1=-0.1",-0.0001,Polynomial,-2.0005001000000002e-05,0.2,-0.1,0.05,-9.601453507918433e-10,0.04999999903985465,0.3000039997498732,0.3000039997498732
"n0=0.2,n1=-0.1",10.0,Polynomial,952.0,0.2,-0.1,0.05,205203023156.40002,205203023156.45,193301247813376.2,193301247813376.2
"n0=0.2,n1=-0.1",-10.0,Polynomial,-1052.0,0.2,-0.1,0.05,306392585999.06665,306392585999.11664,-319261074611079.25,319261074611079.25
"n0=0.2,n1=-0.1",7.0,Polynomial,319.9,0.2,-0.1,0.05,2612718206.3645244,2612718206.4145246,817519526787.4047,817519526787.4047
"n0=0.2,n1=-0.1",-7.0,Polynomial,-368.9,0.2,-0.1,0.05,4638312223.095191,4638312223.145191,-1678605193555.9446,1678605193555.9446
"n0=0.2,n1=-0.1",1.0,ReLU,1.0,0.2,-0.1,0.05,0.0,0.05,0.3,0.3
"n0=0.2,n1=-0.1",2.0,ReLU,2.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",5.0,ReLU,5.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-1.0,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.35000000000000003,0.35000000000000003
"n0=0.2,n1=-0.1",-2.0,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.4,0.4
"n0=0.2,n1=-0.1",-5.0,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.55,0.55
"n0=0.2,n1=-0.1",0.5,ReLU,0.5,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",0.25,ReLU,0.25,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-0.75,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.3375,0.3375
"n0=0.2,n1=-0.1",3.1416,ReLU,3.1416,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",1.4142,ReLU,1.4142,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-2.7183,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.43591500000000005,0.43591500000000005
"n0=0.2,n1=-0.1",100.0,ReLU,100.0,0.2,-0.1,0.05,0.0,0.05,0.2999999999999998,0.2999999999999998
"n0=0.2,n1=-0.1",-100.0,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,5.3,5.3
"n0=0.2,n1=-0.1",0.0001,ReLU,0.0001,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-0.0001,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.300005,0.300005
"n0=0.2,n1=-0.1",10.0,ReLU,10.0,0.2,-0.1,0.05,0.0,0.05,0.29999999999999993,0.29999999999999993
"n0=0.2,n1=-0.1",-10.0,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.8,0.8
"n0=0.2,n1=-0.1",7.0,ReLU,7.0,0.2,-0.1,0.05,0.0,0.05,0.30000000000000004,0.30000000000000004
"n0=0.2,n1=-0.1",-7.0,ReLU,0.0,0.2,-0.1,0.05,0.0,0.05,0.6500000000000001,0.6500000000000001
"n0=0.2,n1=-0.1",1.0,Sine,0.8414709848078965,0.2,-0.1,0.05,-0.1260644395247408,-0.0760644395247408,0.3120584206889965,0.3120584206889965
"n0=0.2,n1=-0.1",2.0,Sine,0.9092974268256817,0.2,-0.1,0.05,-1.0304471186636246,-0.9804471186636246,1.3693761951877617,1.3693761951877617
"n0=0.2,n1=-0.1",5.0,Sine,-0.9589242746631385,0.2,-0.1,0.05,-0.2907386937307078,-0.24073869373070783,1.7345436459226098,1.7345436459226098
"n0=0.2,n1=-0.1",-1.0,Sine,-0.8414709848078965,0.2,-0.1,0.05,-0.1260644395247408,-0.0760644395247408,0.28794157931100356,0.28794157931100356
"n0=0.2,n1=-0.1",-2.0,Sine,-0.9092974268256817,0.2,-0.1,0.05,-1.0304471186636246,-0.9804471186636246,-0.7693761951877613,0.7693761951877613
"n0=0.2,n1=-0.1",-5.0,Sine,0.9589242746631385,0.2,-0.1,0.05,-0.2907386937307078,-0.24073869373070783,-1.1345436459226095,1.1345436459226095
"n0=0.2,n1=-0.1",0.5,Sine,0.479425538604203,0.2,-0.1,0.05,-0.00967748882727991,0.040322511172720094,0.2991703860504953,0.2991703860504953
"n0=0.2,n1=-0.1",0.25,Sine,0.24740395925452294,0.2,-0.1,0.05,-0.000639005081692857,0.049360994918307144,0.2998718568459548,0.2998718568459548
